location,year,Artist name,Co-applicant name,Film title,Link
Minnesota,1981,Peter Bundy,,To and From Childhood: A Portrait,
Minnesota,1981,Jackson Buxton,,Change,
Minnesota,1981,James Byrne,,Swan Songs,
Minnesota,1981,Ken Feingold,,Water Falling from One World to Another,
Minnesota,1981,Danielle Fredrickson,,Roberta,
Minnesota,1981,Roger Jacoby,,The Second Part of How To,
Minnesota,1981,Sandy Maliga,,The Hundred Thousand Tasks,
Minnesota,1981,Sheryl Mousley,,"Emmetts Light, Mississippi Galaxy",
Minnesota,1981,Kent Olson,,Tropical Shake,
Minnesota,1981,Jack Savage,,Capriccio for a Slave,
Minnesota,1981,Robert Schwartz,,Incoming Calls,
Minnesota,1982,Janet Bayliss,,Rollag (Steam Threshers Reunion),
Minnesota,1982,Richardo Bloch,,The Persistance of Memory,
Minnesota,1982,Dianne Brennan,,,
Minnesota,1982,Scott Brennan,,Still Thinking,
Minnesota,1982,Bruce Charlesworth,,"Wrong Adventures and Private Enemy, Public Eye",
Minnesota,1982,Tom DeBiaso,,"Untitled, series of video portraits",
Minnesota,1982,Charles France,,Jazz in Exile,
Minnesota,1982,Keith Froelich,,Nocturnes,
Minnesota,1982,Miroslav Janek,,Little City in Space,
Minnesota,1982,Kathleen Laughlin,,Good Grief Chronicles,
Minnesota,1982,Robert Nelson,,,
Minnesota,1982,Brad Smith,,,
Minnesota,1982,Chris Spotted Eeagle,,Indianotations,
Minnesota,1982,William Turnley,,The Ultimate Test Animal,
Minnesota,1982,Josie Winship,,Metamorphosis,
Minnesota,1983,Phyllis Berg-Pigorsch,,The Islander,
Minnesota,1983,David Brown,,From Protest to Resistance,
Minnesota,1983,Bruce Carlson,,The Larger Picture,
Minnesota,1983,Rob Danielson,,Strictly Business,
Minnesota,1983,Scott Dodds,,Sorcerer's Way,
Minnesota,1983,Jerome Fortier,,River of Rags,
Minnesota,1983,Christine Jones,,The Ocean Rooms,
Minnesota,1983,Amy Miller,,A Divorce Trial in China,
Minnesota,1983,Jane Nauman,,Lakota Quillwork-Art and Legend,
Minnesota,1983,Lenore Rindler,,Yoni's Line,
Minnesota,1983,John Steinmann,,Deception,
Minnesota,1983,Robert Vierow,,The Experiment (Temporal Relations in Conditioning),
Minnesota,1983,Steve Westerlund,,Circles of Confusion,
Minnesota,1983,Dawn Wieking,,Relations,
Minnesota,1984,Doug Allaire,,Symbols of God,
Minnesota,1984,Stephanie Beroes,,The Dream Screen,
Minnesota,1984,Richardo Bloch,,Phototropism,
Minnesota,1984,Cathy Cook,,June Brides,
Minnesota,1984,Dennis Darmek,,Objects of Desire,
Minnesota,1984,Steven Harp,,Graffiti,
Minnesota,1984,Mary Key-Shelton,,The Aftermath,
Minnesota,1984,Gary W. McQuay,,How the Loon,
Minnesota,1984,Daniel Polsfuss,,Rain on the Lion,
Minnesota,1984,Kathy Seltzer,,Untitled,
Minnesota,1984,Christopher Sullivan,,Master of Ceremonies,
Minnesota,1984,Steven Weiss,,The Boy Who Loved Venus,
Minnesota,1984,Dawn Wiedeman,,Sovereigns of Seven Troughs,
Minnesota,1985,L. Wade Black,,Dorothy Molter - Living in the Boundary Waters,
Minnesota,1985,James Byrne,,Regardless of the Moment,http://www.byrnefilms.com/
Minnesota,1985,Helen DeMichiel,,"Consider Anything, Only Don't Cry",
Minnesota,1985,Scott Dodds,,Farmer Film,
Minnesota,1985,Ken Feingold,,India Time,
Minnesota,1985,Ann Follett,,Mi Pueblo Es Chiquito,
Minnesota,1985,James Gambone,,Between the Lines,
Minnesota,1985,Ruth Ann Godollei,,Working World,
Minnesota,1985,J. J. Murphy,,Frame of Mind,
Minnesota,1985,Leighton Pierce,,"Red Swing, and Cumulonimbus",
Minnesota,1985,Roger Schmitz,,Now I Lay Me,
Minnesota,1985,Geoff Seelinger,,Walk,
Minnesota,1985,Melanie Sherwood,,The Kitty Green Story,
Minnesota,1985,Deborah Wallwork,,Warriors,
Minnesota,1985,Steve Westerlund,,Living with Nuclear Waste,
Minnesota,1985,Joanna Winship,,Coming Home to Me,
Minnesota,1986,Glenice Anderson,,Yellow Medicine Journal,
Minnesota,1986,Bruce Charlesworth,,Dateline for Danger,
Minnesota,1986,Pamela Colby,,Journey to Sobriety,
Minnesota,1986,Randy Croce,,Clouded Land,
Minnesota,1986,Rob Danielson,,Precious but Second,
Minnesota,1986,Martha Elizabeth Davis,,Hiawatha,
Minnesota,1986,John Flomer,,Ten Episodes for Sonic Discipline,
Minnesota,1986,David Haugland,,Our Time to Sing,
Minnesota,1986,Suzanne Lacy,,"Whisper, The Waves, The Wind",
Minnesota,1986,Kathleen Laughlin,,Unwasted Stories: Approaching Minnesota's Waste Issues,
Minnesota,1986,Douglas Sharples,,Kerouac Remembered,
Minnesota,1987,Steve Busa,,Sioux City,
Minnesota,1987,Laurie Beth Clark,,Un/Necessary Percent,
Minnesota,1987,Cathy Cook,,Bust Up,
Minnesota,1987,Doyle Detroit,,Doyle's Video Journal,
Minnesota,1987,Tonicka Janek,,Valo,
Minnesota,1987,Richard Kohler,,9.8,
Minnesota,1987,Claudia Looze,,In Memoriam,
Minnesota,1987,Mark McCusker,,Such Stuff Stories,
Minnesota,1987,L. Leighton Pierce,,What's Left is Wind and You Can Drive the Big Rigs,
Minnesota,1988,Charles Abourezk,,Quiet Desperation: Floyd Red Crow Westerman,
Minnesota,1988,Melisande Charles,,The Cry of Thoth,
Minnesota,1988,Bruce Charlesworth,,Dateline for Danger,
Minnesota,1988,Cecelia Condit,,Suburbs of Eden,
Minnesota,1988,Dennis Darmek,,The Big Inning,
Minnesota,1988,Helen DeMichiel,,Turn Here Sweet Corn,
Minnesota,1988,Dirk Eitzen,,Tales of the Rails,
Minnesota,1988,Keith Froelich,,Waiting for the Fare,
Minnesota,1988,Steve Grandell,,Horse Head,
Minnesota,1988,Benjamin Martin,,my Show,
Minnesota,1988,Jeanine Mellinger,,Disorders of Communications:Gossip,
Minnesota,1988,Alison Morse,,After This Message,
Minnesota,1988,Dawn Wieking,,"For Love, For Life, We're Not Going Back",
Minnesota,1989,Bruce Charlesworth,,"Private Enemy, Public Eye",
Minnesota,1989,Martha Davis,,The Woman Who Dreamed About the Shoreline,
Minnesota,1989,Kimberly Downing,,Tarawa,
Minnesota,1989,Keith Froehlich,,Waiting for the Fare,
Minnesota,1989,Robert Lawrence,,Park,
Minnesota,1989,J.J.Murphy,,Horicon,
Minnesota,1989,Jamie Patten,,Treading Water,
Minnesota,1989,J. Leighton Pierce,,Principles of Harmonic Motion,
Minnesota,1989,Debra J. Robinson,,Kiss Grandma Goodbye,
Minnesota,1989,Roger Schmitz,,Now I Lay Me…,
Minnesota,1989,Mark Tang,,Relocations and Moon Dancing,
Minnesota,1989,Eric Tretbar,,The Usual ,
Minnesota,1989,Iverson White,,Magic Love,
Minnesota,1989,John Whitehead,,Three Cups of Coffee,
Minnesota,1990,Douglas Cain,,Growing Organically,
Minnesota,1990,Paul Casella,,Poetry Television,
Minnesota,1990,Pamela Colby,,Speak Truth to Power: A Portrait of Polly Mann,
Minnesota,1990,Chris Craton,,Ghosts Along the Freeway,
Minnesota,1990,Mark Curtiss,,Slim and Kyle,
Minnesota,1990,Dennis Darmek,,Crossing the DMZ,
Minnesota,1990,Helen DeMichiel,,Tarantella,
Minnesota,1990,Sayer Frey,,Eileen is a Spy,
Minnesota,1990,Monique Gauthier,,Follow the Dirt Road: An Introduction to Intentional Communities in the 1990s,
Minnesota,1990,DeJunius Hughes,,Rockhouse: A Tribute to Otis Redding,
Minnesota,1990,Joan Kiefer,,The Lost Years,
Minnesota,1990,Diane Kitchen,,A Girl Who Has Lived,
Minnesota,1990,Jeanine Mellinger,,Videowall Quilt,
Minnesota,1990,Daniel Polsfuss,,The Minnesota 8,
Minnesota,1990,Timothy Schwab,,Ghost Dance,
Minnesota,1990,Xiong Vang,,Presenting the Hmong New Year,
Minnesota,1990,Deb Wallwork,,Sacred Buffalo People,
Minnesota,1990,Gloria Williams,,The History of Iowa City Women in Photography,
Minnesota,1991,Sadie Benning,,A Place Called Lovely,
Minnesota,1991,Daniel Bergin,,Black on Black: Droppin' Knowledge,
Minnesota,1991,Emily Birdsong,,,
Minnesota,1991,Daniel Carbone,,,
Minnesota,1991,Christine Ciano,,,
Minnesota,1991,Cathy Cook,,The Match That Started My Fire,
Minnesota,1991,Laura Davis,,Women's War,
Minnesota,1991,LeAnn Erickson,,People's Stff,
Minnesota,1991,Robert Foucault,,,
Minnesota,1991,Keith Froelich,,The Toilers and the Wayfarers,
Minnesota,1991,Mike Hazard,,Jim Northrup: With Reservations,
Minnesota,1991,Robert Lawrence,,Artists consider the Environment,
Minnesota,1991,Sandy Maliga,,circling: she + he,http://maliga.com/sandy/
Minnesota,1991,Eric Mueller,,World and Time Enough,
Minnesota,1991,J.J.Murphy,,Horicon,
Minnesota,1991,K. Erin O'Meara,Brian Smith,Cable access programs,
Minnesota,1991,Leighton Pierce,,Red Shovel,
Minnesota,1991,Camille G. Seaman,,,
Minnesota,1991,Bill Simonett,,Fare Game,
Minnesota,1991,L. Torrevillas,,,
Minnesota,1991,Xiong Vang,,Presenting the Hmong New Year,
Minnesota,1991,Garrett Williams,,Mixed Emotions,
Minnesota,1991,Rob Yeo,,,
Minnesota,1992,Bill Felker,,,
Minnesota,1992,Raul Ferrera-Balanquet,,,
Minnesota,1992,Al Gedicks,,Anishinaabe niijii = Friends of the Chippewa,
Minnesota,1992,Laura Jost,,,
Minnesota,1992,Tim Kaiser,,Burning Down My Uncle's House,http://tim-kaiser.org/
Minnesota,1992,Kathleen Laughlin,,Woman on Fire: Menopause Stories,http://www.menopausevideo.com/mediaposthome.htm
Minnesota,1992,Bridget McGibbon,,,
Minnesota,1992,Franklin Miller,,,
Minnesota,1993,Mary Ahmann,,,
Minnesota,1993,David Braden,,,
Minnesota,1993,LeAnn Erickson,,,
Minnesota,1993,Steven Grandell,,Stolen Shadows,
Minnesota,1993,Diane Kitchen,,,
Minnesota,1993,Bill Simonett,,,http://www.loft54.com/index.php
Minnesota,1993,Jerry Smith,,,
Minnesota,1993,Margaret Stratton,,,
Minnesota,1993,Nan Toskey,,,http://mediatoremember.com/
Minnesota,1993,Deb Wallwork,,,http://www.redeyevideo.org/
Minnesota,1993,Iverson White,,,
Minnesota,1995,Me-Kyung Ahn,,undertow,
Minnesota,1995,Daniel Pierce Bergin,,Mixed Messages,
Minnesota,1995,David W. Butler,,Neighbors Mural (,
Minnesota,1995,Cecelia Condit,,Book of Love,https://sites.google.com/site/ceceliacondit/
Minnesota,1995,Dennis Darmek,,Buddha’s Radio,
Minnesota,1995,Laura M. Davis,,Women’s War,
Minnesota,1995,Mo Donahue,,Soft Boiled Desire,
Minnesota,1995,LeAnn Erickson,,From One Place to Another: Emma Goldman Clinic Stories,http://sites.temple.edu/leannerickson/
Minnesota,1995,Karen Haselmann,,Burning Desire,
Minnesota,1995,Dawn Renee Jones,,Shiny Stockings,
Minnesota,1995,John R. Killacky,,Stolen Shadows,
Minnesota,1995,Karen Kysar,,untitled ,
Minnesota,1995,Kathleen Laughlin,,Women on Fire: Menopause Stories,http://www.menopausevideo.com/
Minnesota,1995,Gemma Lockhart,,The Way Home,
Minnesota,1995,Patrick Maun,,brieth,http://www.patrickmaun.com/
Minnesota,1995,Debra L. McClutchy,,Let the Girl Play,
Minnesota,1995,Monteith McCollum,,Hybrid,http://www.monteithmccollum.com/
Minnesota,1995,Shawn McConneloug,Greg Cummins,Souvenir,
Minnesota,1995,Lorraine Norrgard,,Looks into the Night,
Minnesota,1995,Lori Phelps,,"Big Trouble Up North, NOW - Mine Crandon",
Minnesota,1995,Suzan Pitt,,Joy Street,
Minnesota,1995,Adriana Rosas,,A Vow of Silence,
Minnesota,1995,Mary Hoyt Slaughter,,White Calf,
Minnesota,1995,George G. Souladze,,Ground Rules,
Minnesota,1995,Marshall Weber,,Beautiful Losers,http://www.munchgallery.com/marshall_weber
Minnesota,1996,Shelli Ainsworth,,Stay Then Go,http://staythengo.com/
Minnesota,1996,Pamela Colby,Lu Lippold,The Unapologetic Life of Margaret Randall,
Minnesota,1996,Matt Ehling,,Forbidden City,
Minnesota,1996,Lisa Fisher,,Beyond Diagnosis: Our Journeys With Breast Cancer,
Minnesota,1996,Patrick Hennessey,,The Homeless Home Movie,http://www.homelesshomemovie.com/
Minnesota,1996,Barry Kimm,,Meteor,http://barrykimm.com/
Minnesota,1996,Michele Ann Lepsche,,Ink Blot,
Minnesota,1996,Amy Ostergaard,,White Wash,
Minnesota,1996,Rafael Viera,,The Stall,
Minnesota,1996,John Whitehead,,Down in the Valley,
Minnesota,1996,Judith Yourman,,Refugee Memories,
Minnesota,1997,Mo Donahue,,Soft Boiled Desire,
Minnesota,1997,Michael Hazard,,Solar Power & Moonshine,
Minnesota,1997,Dejunius Hughes,,Phillips Gateway Documentary,
Minnesota,1997,Kella Prill,,Freight,
Minnesota,1997,Eric Tretbar,,Snow,http://www.girlmeetsbikemovie.com/
Minnesota,1997,Rafael Viera,,Leaving With Love,
Minnesota,1998,Thalia Drori,,Waiting for Darryl,
Minnesota,1998,T. J. Larson,,Stories From The Bottle,
Minnesota,1998,Kathleen Laughlin,,We Will Harbor You: A History of Minnesota’s Battered Women’s Movement,http://www.menopausevideo.com/
Minnesota,1998,Jenny Lion,,Aloha Good-bye,
Minnesota,1998,Mattie Lufkin,,Java-Funk Minnesota ,
Minnesota,1998,Bienvenida Matias,,Leaving el Barrio,
Minnesota,1998,Sarah Penman,Mark Anthony Rolo,The Great Woodland Indian Mini-Tour,
Minnesota,1999,Ayesha Adu,,Cord,
Minnesota,1999,Matt Ehling,,Access,
Minnesota,1999,Mary John,,All My Relatives,
Minnesota,1999,Steven Kelly,,Waking Giant,
Minnesota,1999,Matthew Magratten,,The Well,
Minnesota,1999,Steven Matheson,,Apple Grown in a Wind Tunnel,
Minnesota,1999,Wyatt McDill,,Garbage Man,
Minnesota,1999,Tara Spartz,,I Hate Babysitting,
Minnesota,2000,Emily Goldberg,,Venus of Mars,http://www.hwpics.com/venusofmars/index.html
Minnesota,2000,Steven Larson,,Beyond Duluth,
Minnesota,2000,Eric Mueller,,This Car Up,
Minnesota,2000,Kelly Nathe,,I Took a Bosnian Lover,
Minnesota,2000,Christopher Newberry,,Agora,http://www.minnesotamovie.com/
Minnesota,2000,Mark Pitsch,,Uneasy Peace: Ten Years After the Contra War,
Minnesota,2000,Darren Roark,,Tilt!,
Minnesota,2000,Tom Schroeder,,Riding with Harv,
Minnesota,2000,John Gregory Yolen,,Don Ciegna,
Minnesota,2001,Lisa Davitch,,Victory Square,
Minnesota,2001,Thalia Drori,,Toxic Energy:  Little Miss Potentiality Returns,
Minnesota,2001,Lynn Lukkas,,Oculus: Yangtze,
Minnesota,2001,Coleman Miller,,Uso Justo,http://www.colemanmiller.com/
Minnesota,2001,Richard Shelton,,The Coonhuntin’ Stories of Boo Larrington,
Minnesota,2001,Karen Taulelle,,CARNY,
Minnesota,2001,Marie Françoise Theodore,,Rebel in the Soul,
Minnesota,2001,Mickie Turk,Rosalie Sundin,Wayward Girls,http://mickieturkauthor.blogspot.com
Minnesota,2002,Billy Golfus,,Sex and the Single Gimp,
Minnesota,2002,Chris Larson,,County Line,http://www.magnusmuller.com/artists/chris-larson.php
Minnesota,2002,Adam Levy,,"10,000 Years",http://www.adamlevy.com/
Minnesota,2002,Mattie Lufkin,,He Ain’t Heavy,
Minnesota,2002,John O’Brien F.,,The Rise and Fall of it All,
Minnesota,2002,Matthew Stenerson,,How to Read a Letter at the End of a Movie,
Minnesota,2002,Amanda Taylor,,Freak of Nature,
Minnesota,2002,Kang Vang,,Miskas “American”,
Minnesota,2002,Mark Wojahn,,What America Needs 2002,http://www.whatamericaneeds.org/
Minnesota,2003,Olive Bieringa,Otto Ramstad,Winona,http://www.bodycartography.org/
Minnesota,2003,Matt Ehling,,Taking Liberties,
Minnesota,2003,Steven J. Foley,,Strange As Angels,
Minnesota,2003,Keith Rollins Lockwood,,Where The DJ's Roam,http://www.krlproductions.com/
Minnesota,2003,Meesh Mousavi,,My Life as a Terrorist,http://meeshmousavi.com/
Minnesota,2003,Benjamin Riesman,,Flight,
Minnesota,2003,William Slichter,,Flourtown,http://windpoweredpictures.com/
Minnesota,2003,Laurie Stern,Dan Luke,CARRY IT FORWARD!,
Minnesota,2003,Marcus Young,,"Thoughts #1, #2",
Minnesota,2004,Randy Croce,,If Stone Could Speak (Se la pietra potessero parlare),
Minnesota,2004,Brian L. Dehler,,North Shore,
Minnesota,2004,Catherine Gray,,Grace on a Stick,
Minnesota,2004,XinXai Her,,The Great Journal of Hmong History in China,
Minnesota,2004,Allison Herrera,,Prayer of the Sorrowful Mystery (working title),
Minnesota,2004,Dain Ingebretson,,Waiting,http://dainwrk.com/troublefilm/troublefilm.html
Minnesota,2004,Chris Larson,,Crush Collision,http://www.magnusmuller.com/artists/chris-larson.php
Minnesota,2004,Jila Nikpay,,Keepers of the Garden,http://www.jilanikpay.com/
Minnesota,2004,Tom Schroeder,,A Plan,
Minnesota,2005,Hisham Muhieddine Bizri,,The Tragedy of the Great House ,http://www.hmbizri.com/
Minnesota,2005,Venus DeMars,,Take My Shoulder,http://www.venusdemars.com/
Minnesota,2005,Joanna Kohler,,BOXERS,http://kohlerproductions.com/
Minnesota,2005,Teresa Konechne,,Woven from the Land: women. prairie. culture.,http://www.workinghandsproductions.com/teresa/home.html
Minnesota,2005,Albert Milgrom,,The Red Barn Project,
Minnesota,2005,Jila Nikpay,,Rhythm of Tides,http://www.jilanikpay.com/
Minnesota,2005,Mara V. Pelecis,,Souvenirs,http://souvenirsdocumentary.com/index.html
Minnesota,2005,Jason Wade,,STABBER (working title),
Minnesota,2005,Jake Yuzna,,Open,http://www.jakeyuzna.com/
Minnesota,2006,C. Channon Doerr,,A Man Made of Gold,
Minnesota,2006,David Eberhardt,,Korsang,
Minnesota,2006,Maeri S. Hedstrom,,Interludes,
Minnesota,2006,William Kruse,,Big Boy,http://www.rebelfilmworks.com/talent/kruse.php
Minnesota,2006,Moua Lee,,"Dab Neeg (A Hmong word meaning, “Stories” or “Tales”)",
Minnesota,2006,Wyatt McDill,,Four Boxes,http://www.contentpvdr.com/
Minnesota,2006,Abinadi Meza,,"Like Snow, Falling",http://abinadimeza.blogspot.com/
Minnesota,2006,Christopher Newberry,,American Heart,http://www.minnesotamovie.com/
Minnesota,2006,Mark Tang,Lu Lippold,Open Season,https://www.facebook.com/pages/Open-Season-A-Documentary/161695163848578
Minnesota,2007,Nicole Brending,,Rebel,
Minnesota,2007,Juan Antonio Del Rosario,,The System,http://threevolts.com/#JuanAntonioDelRosario
Minnesota,2007,Andrew J. Koehler,,List of Schindler?s Part I,
Minnesota,2007,Susan Marks,,Of Dolls and Murder,http://www.ofdollsandmurder.com/
Minnesota,2007,Jila Nikpay,,In Waiting,http://www.jilanikpay.com/
Minnesota,2007,Ramon Alberto Nuñez,,Invisible to You,http://ramonreel.com/
Minnesota,2007,Dave Ryan,,The Hungering Deep,
Minnesota,2008,Nicole Brending,,Duluth,
Minnesota,2008,Liza Davitch,,Czar of Cinema (working title),http://www.lizadavitch.com/
Minnesota,2008,Daniel Lundquist,,Filled In Blank,
Minnesota,2008,Catrin Magnusson,,Farming in a Lilac Shirt,
Minnesota,2008,Susannah Patrice Morse,,Haunted by the Light,
Minnesota,2008,Norah L. Shapiro,,Miss Tibet: Beauty in Exile,http://www.flyingpiecesproductions.com/
Minnesota,2008,Va-Megn Thoj,,Occult Racism: The Masking of Race in the Hmong Hunter Killings,
Minnesota,2009,John Akre,,Walker and Driver,http://sloppyfilms.net/
Minnesota,2009,Lisa Blackstone,,Grappling Girls,http://www.lisablackstoneproductions.com/home.html
Minnesota,2009,Stephen Gurewitz,,Marvin Seth and Stanley,
Minnesota,2009,Emily Haddad,,Artist in the Margin,http://www.emilyhaddad.com/
Minnesota,2009,Darin Heinis,,det.,
Minnesota,2009,Rosemary Sindt,,Love-Life,
Minnesota,2009,William Slichter,,The Feathered Ogre,
Minnesota,2009,Bryan Vue,Mong Vang,Journey to the Fallen Skies   ,https://www.facebook.com/journeytothefallenskies
Minnesota,2009,Molly Worre,"Carrie Volk
Minnesota,Carrie Bush",Golden Hour,https://www.facebook.com/pages/Golden-Hour-the- Film/236240673076323
Minnesota,2010,Michael Etoll,,Pilgrimage to the Grave of Tiny Tim,
Minnesota,2010,Jim Grafsgaard,,Midas Rat and Me,
Minnesota,2010,Ann Prim,,Little Words,
Minnesota,2010,Jesse Roesler,,The Starfish Throwers,
Minnesota,2010,Dustin M. Rosemark,,Blue Hands,
Minnesota,2010,Jenny Schmid,,VLD SK8R GRL,
Minnesota,2010,Anal Shah,,Chalchitra-Railyatra,http://vimeopro.com/analshah/portfolio/video/75048048
Minnesota,2011,Nathan Fisher,,Rebuilding Cold River,
Minnesota,2011,Andrew Hunt,,Noah,http://crankygiant.com/
Minnesota,2011,Rebecca Kingsley,,The Last Colony,
Minnesota,2011,Andrew Martin,,Canoe,
Minnesota,2011,Kevin Obsatz,,Crazy Horse,
Minnesota,2011,Jacob Swanson,,Walk Amongst the Living,
Minnesota,2011,Kao Lee Thao,,Gao Zoua Pa,
Minnesota,2011,Brennan Vance,,Like Father,
Minnesota,2011,Britni West,,Untitled,
Minnesota,2012,John Akre,,Demolition Dreaming,
Minnesota,2012,Nicole Brending,,Dollhouse,http://whoisjuniespoons.com/
Minnesota,2012,Susan Marks,John Kurtis Dehn,Murder in a Nutshell: The Frances Glessner Lee Story,
Minnesota,2012,Michael J. Peterson,,Insectula!,http://www.insectula.com/
Minnesota,2012,Maya Washington,,Through the Banks of the Red Cedar,
Minnesota,2012,Caleb Wood,,MN: Animated Portrait of Minnesota,
Minnesota,2013,Mitchell Arens,,Brother Bear,
